Nazwisko  2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 
AdiJeKr    25   34   17   19   19   21   21   24   29   41   28   30   34   34   30   35   35   39   22   ---  ---  
BoWyzøo    ---  ---  ---  ---  ---  ---  96   94   97   89   78   90   90   92   96   96   93   ---  ---  ---  ---  
KaiWiPo    ---  ---  ---  ---  ---  ---  59   91   90   72   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
KrDo       ---  ---  ---  ---  ---  ---  56   58   60   87   71   70   70   99   83   83   90   90   ---  ---  ---  
RoSo       ---  ---  ---  ---  ---  ---  92   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
SyCa       ---  ---  ---  ---  ---  ---  93   66   82   57   47   80   80   72   82   82   74   86   ---  ---  ---  
ZbBe       ---  ---  ---  ---  ---  ---  71   92   93   ---  79   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnCz       ---  ---  ---  ---  ---  ---  ---  51   ---  74   61   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnSz       ---  ---  ---  ---  ---  ---  ---  52   50   37   44   95   95   86   99   99   96   ---  ---  ---  ---  
ArTo       ---  ---  ---  ---  ---  ---  ---  62   68   46   41   33   33   29   34   34   79   88   ---  ---  ---  
GrKu       ---  ---  ---  ---  ---  ---  ---  12   46   29   19   11   11   9    10   10   11   19   18   23   24   
GrKi       ---  ---  ---  ---  ---  ---  ---  99   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
JaDo       ---  ---  ---  ---  ---  ---  ---  15   17   34   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
JaSz       ---  ---  ---  ---  ---  ---  ---  79   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
JeKa       ---  ---  ---  ---  ---  ---  ---  69   72   53   ---  65   65   59   64   64   30   31   34   33   30   
JÛSz       ---  ---  ---  ---  ---  ---  ---  74   76   64   83   69   69   63   68   68   34   31   34   33   30   
KrKozro    ---  ---  ---  ---  ---  ---  ---  19   40   77   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
MaFa       ---  ---  ---  ---  ---  ---  ---  95   87   ---  ---  ---  ---  67   ---  ---  ---  ---  ---  ---  ---  
PaiMaSz    ---  ---  ---  ---  ---  ---  ---  46   56   ---  99   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
S≥Ru       ---  ---  ---  ---  ---  ---  ---  72   74   62   81   67   67   61   66   66   32   31   34   33   30   
WiLizro    ---  ---  ---  ---  ---  ---  ---  27   31   21   24   28   28   27   28   28   29   31   ---  ---  ---  
ZdSt       ---  ---  ---  ---  ---  ---  ---  73   75   63   82   68   68   62   67   67   33   31   34   33   30   
JaPa       ---  ---  ---  ---  ---  ---  ---  ---  23   13   10   17   17   13   15   15   12   21   20   22   ---  
LeiKrJÍ    ---  ---  ---  ---  ---  ---  ---  ---  14   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
MaSt       ---  ---  ---  ---  ---  ---  ---  ---  29   85   52   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
StKu       ---  ---  ---  ---  ---  ---  ---  ---  88   97   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
ToKu       ---  ---  ---  ---  ---  ---  ---  ---  62   91   87   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
WaKi       ---  ---  ---  ---  ---  ---  ---  ---  57   27   35   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
ZbOp       ---  ---  ---  ---  ---  ---  ---  ---  52   68   59   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
HeRu       ---  ---  ---  ---  ---  ---  ---  ---  ---  26   ---  25   25   16   23   23   25   25   30   27   ---  
KrJÍ       ---  ---  ---  ---  ---  ---  ---  ---  ---  31   25   42   42   42   63   63   ---  ---  ---  ---  ---  
NgTuTa     ---  ---  ---  ---  ---  ---  ---  ---  ---  93   93   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
PiSo       ---  ---  ---  ---  ---  ---  ---  ---  ---  86   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AgWe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  93   93   88   97   97   92   100  ---  ---  ---  
AlWezdz    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  24   24   19   22   22   24   27   ---  ---  ---  
AnOl       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  99   99   ---  92   92   78   84   97   ---  ---  
AnPt       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  10   10   70   11   11   6    9    9    10   16   
Ed£u       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  49   49   ---  49   49   50   57   48   94   96   
GeEf       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  7    7    4    8    8    ---  ---  ---  ---  ---  
KrSu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  40   40   38   39   39   35   40   47   44   41   
KriSoOl    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  36   36   ---  32   32   23   ---  45   30   28   
LeGa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  81   81   75   72   72   67   80   77   ---  ---  
LeGi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  74   74   ---  56   56   68   31   40   27   17   
MiiAdPl    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  64   64   ---  57   57   ---  ---  75   ---  ---  
PiNo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  94   94   ---  ---  ---  ---  ---  ---  ---  ---  
RaBr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  54   54   41   93   93   ---  ---  ---  ---  ---  
RoJ.åc     ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  82   82   ---  ---  ---  ---  ---  ---  ---  ---  
RyFl       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  26   26   ---  24   24   21   60   28   62   57   
StBi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  43   43   55   27   27   20   45   ---  ---  ---  
TeMo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  50   50   ---  52   52   55   ---  29   40   38   
ToDo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  15   15   10   ---  ---  ---  ---  13   16   35   
ToGu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  13   13   11   13   13   8    15   11   12   18   
ToZa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  58   58   97   60   60   86   ---  ---  ---  ---  
ViWe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  92   92   ---  98   98   94   94   ---  ---  ---  
WiTeHe     ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  100  100  ---  ---  ---  ---  ---  ---  ---  ---  
ZbWo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  98   98   100  ---  ---  ---  ---  12   16   ---  
ZeDu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  57   57   96   58   58   81   ---  ---  ---  ---  
ZyØu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  59   59   ---  ---  ---  ---  ---  ---  ---  ---  
£uWe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  73   73   66   79   79   70   83   87   98   97   
IwiWaKu    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  94   ---  ---  ---  ---  ---  ---  ---  
MiPlzro    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  65   ---  ---  ---  ---  ---  ---  ---  
AdBazsy    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  45   45   46   59   ---  ---  ---  
HeiPaKo    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  90   90   97   ---  ---  ---  ---  
JÛWi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  91   91   47   39   74   60   56   
LeBo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  47   47   65   30   27   51   48   
MaKs       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  95   95   ---  87   ---  ---  ---  
Roåc       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  84   84   ---  ---  ---  ---  ---  
RyiEwLe    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  76   76   54   ---  70   85   ---  
ToDozro    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  20   20   18   12   ---  ---  ---  
WiHe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  94   94   80   82   ---  ---  72   
ZbJuzro    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  42   42   38   17   ---  ---  ---  
AnPo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  40   47   50   49   46   
BeiW≥Os    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  95   ---  ---  ---  ---  
DaiKaMz    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  61   ---  ---  ---  ---  
DoiSeKu    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  1    1    ---  ---  ---  
GriBoWi    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  71   ---  ---  ---  ---  
GrSt       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  85   93   ---  ---  ---  
JaLuLa     ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  98   ---  ---  ---  ---  
JoiDaOs    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  91   ---  ---  ---  ---  
KrBo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  89   68   68   91   ---  
MaiMaAd    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  14   22   22   23   ---  
MaIw       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  88   31   14   13   10   
MaDe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  75   ---  ---  ---  99   
MiKi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  83   42   17   15   11   
OlMe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  100  ---  ---  ---  ---  
AdiMiPl    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  56   48   ---  68   
AnMi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  98   ---  ---  ---  
DoiWoSo    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  76   76   58   ---  
EliBoKa    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  6    ---  ---  ---  
EliJaFi    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  52   ---  ---  ---  
EwiRyLe    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  69   ---  ---  87   
GriRoKa    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  11   ---  ---  ---  
JaWr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  75   91   79   ---  
JeWi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  61   ---  ---  ---  
LuKu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  97   92   ---  ---  
MaWi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  27   40   33   37   
PaPr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  92   ---  ---  75   
PiKr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  64   84   ---  ---  
PiSz       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  7    5    7    3    
SoiKrOl    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  48   ---  ---  ---  
ToBi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  13   7    5    2    
UrSi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  96   ---  ---  ---  
ZyiAnOl    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  27   ---  ---  ---  
AdKr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  63   63   58   
AlWe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  31   68   64   
BaIn       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  79   88   91   
BoiElKa    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  9    16   ---  
DaDπ       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  96   ---  ---  
DoKu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  3    3    5    
Gr∆w       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  65   52   49   
IrEr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  72   70   67   
JaFu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  55   65   60   
KoPa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  79   ---  ---  
KrKo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  93   78   29   
LeKo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  88   ---  ---  
MaPa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  79   ---  ---  
Ma∆w       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  65   52   49   
PrGa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  51   46   42   
RoLe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  94   ---  ---  
RoKo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  62   69   ---  
SeKu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  3    3    6    
Se∆w       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  65   52   49   
ToFu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  55   65   60   
WiCh       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  88   ---  ---  
WiLi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  40   40   38   
WoFu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  55   65   60   
Woåm       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  22   ---  ---  
ZbKo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  14   21   21   
ZbWa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  83   77   79   
ZbiDaFi    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  69   ---  ---  
ZeZi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  46   42   38   
AdKe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  95   94   
AnWi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  45   25   
BaKazro    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  30   ---  
DaKe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  95   94   
DaOszro    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  71   66   
IgKl       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  88   84   
JaLu       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  100  ---  
JaDr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  86   88   
LeSz       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  82   81   
MaGo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  97   98   
MaGa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  84   83   
MaJa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  82   81   
MiKo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  86   88   
MiPl       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  73   ---  
Na         ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
PaMa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  8    9    
ReiToSz    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  47   45   
RoiAnLe    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  88   ---  
SzWr       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  79   ---  
WaSz       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  81   ---  
AniRoLe    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  80   
ArPe       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  71   
JaCi       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  69   
KaiArB≥    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  85   
MaPo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  36   
PiJa       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  86   
RoDaKo     ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  65   
WiØy       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  93   
ZbiMaJu    ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  11   
£uNo       ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  8    
